iter	Passed	Remaining
178	922	4230
179	926	4219
180	929	4206
181	933	4193
182	936	4180
183	940	4169
184	943	4157
185	947	4145
186	950	4133
187	954	4121
188	958	4113
189	962	4101
190	965	4090
191	969	4077
192	972	4067
193	976	4055
194	979	4044
195	983	4032
196	987	4024
197	992	4019
198	997	4015
199	1003	4012
200	1008	4009
201	1014	4008
202	1019	4004
203	1027	4011
204	1032	4003
205	1036	3995
206	1042	3994
207	1048	3991
208	1053	3985
209	1062	3998
210	1068	3996
211	1075	3995
212	1082	4000
213	1088	3996
214	1095	4000
215	1100	3992
216	1105	3988
217	1110	3984
218	1117	3984
219	1126	3995
220	1131	3990
221	1136	3983
222	1141	3978
223	1145	3969
224	1149	3959
225	1156	3960
226	1159	3950
227	1164	3942
228	1169	3936
229	1176	3938
230	1180	3930
231	1188	3934
232	1193	3927
233	1196	3917
234	1200	3906
235	1207	3909
236	1211	3900
237	1214	3889
238	1218	3880
239	1223	3873
240	1226	3863
241	1230	3853
242	1234	3846
243	1239	3840
244	1243	3830
245	1246	3820
246	1250	3812
247	1256	3809
248	1259	3799
249	1263	3789
250	1266	3780
251	1271	3773
252	1274	3763
253	1278	3753
254	1281	3743
255	1285	3737
256	1289	3727
257	1292	3717
258	1296	3707
259	1300	3701
260	1304	3694
261	1308	3684
262	1311	3675
263	1315	3666
264	1318	3657
265	1322	3648
266	1325	3639
267	1328	3629
268	1332	3621
269	1336	3612
270	1339	3603
271	1343	3594
272	1346	3585
273	1349	3576
274	1353	3567
275	1356	3558
276	1359	3549
277	1363	3540
278	1366	3531
279	1370	3523
280	1373	3514
281	1376	3505
282	1381	3500
283	1386	3494
284	1390	3487
285	1395	3483
286	1400	3480
287	1407	3478
288	1414	3479
289	1420	3478
290	1427	3477
291	1436	3482
292	1443	3483
293	1449	3480
294	1454	3475
295	1461	3476
296	1468	3474
297	1473	3471
298	1477	3463
299	1482	3459
300	1486	3452
301	1489	3443
302	1493	3435
303	1498	3431
304	1502	3423
305	1505	3415
306	1509	3407
307	1514	3401
308	1517	3393
309	1520	3385
310	1524	3377
311	1528	3369
312	1533	3366
313	1537	3358
314	1540	3350
315	1544	3342
316	1548	3337
317	1552	3330
318	1556	3322
319	1559	3314
320	1564	3310
321	1568	3302
322	1571	3294
323	1575	3286
324	1579	3280
325	1583	3274
326	1587	3267
327	1591	3259
328	1595	3253
329	1598	3245
330	1602	3238
331	1606	3233
332	1611	3227
333	1614	3220
334	1618	3212
335	1621	3205
336	1625	3197
337	1630	3192
338	1633	3185
339	1636	3177
340	1640	3170
341	1644	3164
342	1648	3157
343	1652	3150
344	1655	3143
345	1659	3137
346	1663	3129
347	1666	3122
348	1670	3115
349	1673	3108
350	1677	3102
351	1681	3094
352	1684	3087
353	1688	3080
354	1691	3073
355	1695	3066
356	1698	3059
357	1701	3051
358	1705	3044
359	1708	3037
360	1712	3030
361	1715	3023
362	1718	3016
363	1722	3009
364	1726	3003
365	1729	2996
366	1733	2990
367	1737	2983
368	1740	2976
369	1744	2970
370	1750	2967
371	1754	2961
372	1758	2955
373	1761	2948
374	1764	2941
375	1768	2934
376	1772	2928
377	1776	2922
378	1779	2916
379	1783	2909
380	1787	2903
381	1790	2897
382	1794	2891
383	1798	2884
384	1801	2878
385	1805	2871
386	1809	2866
387	1813	2860
388	1816	2853
389	1820	2847
390	1825	2842
391	1828	2836
392	1832	2829
393	1835	2822
394	1838	2816
395	1843	2811
396	1847	2805
397	1850	2799
398	1854	2793
399	1858	2788
400	1862	2781
401	1865	2775
402	1869	2768
403	1873	2763
404	1876	2757
405	1879	2750
406	1883	2744
407	1887	2738
408	1891	2733
409	1895	2727
410	1899	2721
411	1902	2715
412	1906	2710
413	1910	2703
414	1914	2698
415	1917	2691
416	1920	2685
417	1924	2679
418	1928	2674
419	1933	2670
420	1938	2666
421	1942	2660
422	1947	2656
